2014-12-27 1:30:10 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/index.php on line 181
2014-12-27 1:30:10 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/currency.php on line 45
2014-12-27 1:40:26 - PHP Warning:  session_start(): Cannot send session cookie - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/session.php on line 11
2014-12-27 1:40:26 - PHP Warning:  session_start(): Cannot send session cache limiter - headers already sent (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/session.php on line 11
2014-12-27 1:40:26 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/index.php on line 181
2014-12-27 1:40:26 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/currency.php on line 45
2014-12-27 1:47:08 - PHP Warning:  session_start(): Cannot send session cookie - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/session.php on line 11
2014-12-27 1:47:08 - PHP Warning:  session_start(): Cannot send session cache limiter - headers already sent (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/session.php on line 11
2014-12-27 1:47:08 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/index.php on line 181
2014-12-27 1:47:08 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/currency.php on line 45
2014-12-27 6:13:58 - PHP Warning:  session_start(): Cannot send session cookie - headers already sent by (output started at /home/jaycre/public_html/system/database/mysql.php:6) in /home/jaycre/public_html/system/library/session.php on line 11
